slug,group,sks_severity,verdict,confidence,reason
nexus-ap2-batched-settle,suspicious,MEDIUM,MISSED,0.85,Scanner all 13 (none); Uncategorized describes Quick start; Pricing; Supported Mandates as baseline. Does not surface irreversible-action/fund-movement warning gap cited by ClawHub SQP-2/E1.
nihai,suspicious,MEDIUM,MISSED,0.85,Scanner all 13 (none); Uncategorized lists tianji/fengshui guidance and communication style. Does not catch the unsafe medical-advice without clinician-gating cited by ClawHub SQP-2.
obsidian-quartz-blog-setup-skill,suspicious,HIGH,PARTIAL,0.7,Scanner flagged Persistence Control (appending recurring maintenance rules into future execution context) and P1/P2 violations on GitHub repo setup. Captures persistence + repo binding but does not explicitly surface the vault-publish-without-allowlist concern.
ontology-modeling,suspicious,MEDIUM,DETECTED,0.8,Scanner flagged Persistence Control on preflight save raw document content into ontology/{domain}_raw_source.md - directly matches ClawHub SSD-3 (retaining complete raw source documents) and SQP-2 (saving full raw document contents without consent).
opulselink-platform-basic,suspicious,MEDIUM,MISSED,0.85,Scanner all 13 (none); single Uncategorized note about Heartbeat Keepalive cron behavior. Does not catch the plaintext API key + account activity logging in MEMORY.md cited by ClawHub SDI-2/SQP-2/SSD-3.
paper-innov-compare-skill,suspicious,MEDIUM,DETECTED,0.85,Scanner produced rich table flagging Over-engineering (diary/YYYY-MM-DD.md); Brand Hijacking; Data Integrity Risks (diary); Code Quality Degradation; Configuration Weakening on paper_summ.py with P1 Purpose-Action Alignment finding on insert_before_final_sections. Captures SDI-2 self-evolution and SQP-2 progress-file writes.
paper-matlab-reproduction,suspicious,MEDIUM,DETECTED,0.85,Scanner Over-engineering=1 on SKILL.md:8 self-improvement mechanism appends repeated diagnostics and PR guidance beyond core reproducibility - matches ClawHub SDI-2 self-evolution finding.
paper-results-reverse-engineer,suspicious,HIGH,MISSED,0.8,Scanner Information Gathering + Data Integrity Risks on inserted Chinese localization branch in CHANGELOG/README/SKILL - off-topic. Does not catch pdftotext local execution; broad triggers; or /tmp PDF retention cited by ClawHub SDI-2/SQP-1/SQP-2.
patent-transaction,suspicious,HIGH,DETECTED,0.8,Scanner produced an 18-principle violation table including P1 permission-related configuration issues; P2 consent requirements absent; P3 conditional network destination switching; P5 authentication weakening; P9 vulnerability exposure; P16 update source verification failure; P17 telemetry not task-limited. Maps to ClawHub AST4 (pip install); SDI-2 (silent install); SQP-1 (broad triggers); SQP-2 (export disclosure).
pharmacovigilance-icsr-narrative,suspicious,LOW,MISSED,0.75,Scanner Over-engineering on README Safety section and Hard Boundaries; Uncategorized lists baseline workflow. Does not catch the SDI-4 documentation inconsistency between drafting vs final decisions.
polymarket-mil-aircraft-tracker,suspicious,LOW,MISSED,0.85,Scanner output is a degenerate loop repeating the same safety-disclaimer framing baseline note many times. Does not catch the --no-safeguards bypass even in --live mode cited by ClawHub SQP-2.
ralph-loop-rr,suspicious,HIGH,DETECTED,0.85,Scanner flagged Persistence Control on Deactivating the Loop (deletes /workspace/memory/ralph-loop.md; removing persistent record beyond task lifetime) - matches ClawHub SQP-2 audit-trail-deletion finding. Uncategorized also notes Telegram message style and ralph-loop.md persistence.
redfin-mcp,suspicious,LOW,DETECTED,0.85,Scanner explicit category counts: user_data_risk=1 (User saved homes/searches); vendor_fingerprint=1 (fetchproxy); undisclosed_dependency=1 (fetchproxy). Directly captures ClawHub SQP-1 (broad activation on Redfin saved data) and SQP-2 (signed-in browser session under-disclosed).
rocketreach-contact-intel,suspicious,LOW,PARTIAL,0.65,Scanner Hidden Conditionality + P1 Purpose Definition flagging remote account setup via claw-link.dev and dashboard workflows beyond core contact retrieval. Catches the privileged-setup but does not specifically surface the nested-Codex full-sandbox-bypass.
simulation-doc-writer-skill,suspicious,HIGH,PARTIAL,0.7,Scanner all 13 (none) but Uncategorized identifies Self-Evolution Mechanism (self-improvement logging and PR workflow) on SKILL.md. Captures ClawHub SDI-2/SDI-1 self-mod behavior but frames as baseline.
skill-publish-skill,suspicious,HIGH,DETECTED,0.9,Scanner rich table flagging Persistence Adherence; Code Quality Degradation; Configuration Weakening (HTTPS-to-SSH on errors); Data Integrity Risks (git describe versioning); Advertising/Brand Hijacking on skillsmp.com auto-sync; Supply Chain Attack (installs external CLI); Over-engineering (repo-map.json). P1 also flags Self-Evolution Mechanism explicitly. Multiple ClawHub findings matched.
smartbi-cli,suspicious,MEDIUM,PARTIAL,0.5,Scanner enumerated 6 first-level error categories (installation; account/session; network; permission/auth; request construction; response parsing) - comprehensive about CLI failure modes but does not directly surface WebFetch external URL execution or plaintext token storage cited by ClawHub SDI-1/SDI-2/SQP-2.
smyx-driver-flushing-sweat-detection-analysis,suspicious,CRITICAL,PARTIAL,0.65,Scanner enumerated 12 No-Default-Mapping + 12 Uncategorized Vulnerabilities entries on analyze_video; show_analyze_list; get_output_analysis_content - captures video upload + cloud history access + report export as baseline. Does not flag the pet-type domain mismatch (SDI-4) or token persistence (SDI-2) as risks.
smyx-driver-head-pose-abnormality-analysis,suspicious,CRITICAL,DETECTED,0.8,Scanner explicitly flagged Data Exfiltration on analyze_video and show_analyze_list (Conditional Scope Expansion; Forced Remote Retrieval) plus Safety Framing across multiple SKILL.md sections. Captures the ClawHub SDI-1/SDI-2 video-upload and cloud-history concerns.
smyx-infant-stool-color-abnormality-analysis,suspicious,CRITICAL,PARTIAL,0.55,Scanner flagged Persistence/State Overload (env-file routing) and many Documentation Style/Framing entries marking content as changing runtime behavior. Touches on framing/persistence concerns but does not directly catch the infant-image cloud upload; identifier handling; or face-detection-mismatch (SDI-1/SDI-2/SDI-4).
smyx-living-alone-rhythm-anomaly-analysis,suspicious,CRITICAL,DETECTED,0.8,Scanner rich category table flagged Opaque Data Exfiltration (data-sending enabled by opaque activation conditions); Stateful Practices (persistence without task justification); Hidden Conditionality (secret-triggered endpoints); Marketing Language; Code Quality Degradation; Brand-Guidance Overopacity. Captures the SQP-2 in-home video cloud handling concerns.
smyx-neonatal-jaundice-screening-analysis,suspicious,CRITICAL,PARTIAL,0.65,Scanner High-Priority Vulnerabilities on forced remote history lookup via --list keywords (recommends remove cloud history retrieval from analyze_video) - captures ClawHub SDI-2 history query. But categorization grid is empty and pet-type/yaml-dep aspects not flagged.
smyx-thermal-fever-screening-analysis,suspicious,CRITICAL,PARTIAL,0.5,Scanner Uncategorized=1 only; with note that scripts writes historical report results via --list; --open-id; and cloud query behavior beyond one-shot analysis. Captures cloud-history + identifier handling at low intensity.
solution-case-finder,suspicious,LOW,PARTIAL,0.6,Scanner Advertising Injection on lead-capture CTA and Uncategorized notes MCP integration for remote case retrieval and contradictions expansion. Captures MCP/remote routing partially but does not foreground confidentiality/consent gap.
statichub,suspicious,LOW,DETECTED,0.85,Scanner produced evasion-paths table including obfuscation (concealed install source in curl payload); hidden conditionality (install branch activates on missing CLI); permissions-request subversion (elevated install appears routine under setup context). Directly captures ClawHub SQP-2 curl-pipe-sh install concern.
stickyhive,suspicious,MEDIUM,DETECTED,0.8,Scanner Critical Configuration Issues on STICKYHIVE_API_URL routing; Severe Implementation Bugs on alternate hosts; Auth Configuration Issues on hm_live_/hm_test_ API keys; Over-engineered Features on automatic discovery; Advertising Injection on automatic OpenClaw discovery. Captures multiple ClawHub SQP-1/SQP-2 concerns.
sushiro,suspicious,CRITICAL,PARTIAL,0.65,Scanner High-Level Classification all empty but Specific Categories and Uncategorized identify retry guidance against raw endpoints; hardcoded auth header requirement; raw endpoint invocation - captures the raw subcommand + bearer token aspects from ClawHub SDI-1/SDI-2.
swppp-drafter,suspicious,LOW,MISSED,0.7,Scanner detailed Information Gathering on permit framework; project info; site assessment; construction sequence; BMPs - off-topic. Does not catch the nested-agent-full-local-authority concern cited by ClawHub for the review helper.
tally-prime-skill,suspicious,MEDIUM,MISSED,0.85,Scanner all 13 (none); single Uncategorized on Step 0 Server check curl. Does not catch the persistent TallyPrime ledger/inventory master creation without confirmation cited by ClawHub SDI-1/SQP-2.
taobao-618-material-helper,suspicious,LOW,PARTIAL,0.6,Scanner Output Reliability + Advertising Sales on README/SKILL captures the automatic-submit framing partially. Does not fully surface the missing confirmation/preview gap for seller-center submissions.
tron-energy-rental,suspicious,MEDIUM,MISSED,0.75,Scanner Advertising Injection + Brand Hijacking on README promotional footer to trxdo.com. Does not catch the cost-affecting rental order without authorization/limits/confirmation controls cited by ClawHub SQP-2.
tutur-aceh,suspicious,LOW,MISSED,0.8,Scanner all 13 (none); Uncategorized lists baseline workflow/resources/metadata. Does not catch the nested-Codex full-sandbox-bypass concern.
typeform-surveys,suspicious,LOW,DETECTED,0.7,Scanner rich table on Advertising/Sales (clawhub:clawlink-plugin); Authentication & Credentials (hosted credentials; device credential stored locally); Configuration Weakening (Never ask user for separate Typeform credentials); Data Exfiltration (claw-link.dev dashboard URL). Captures the credential/auth-bypass and dashboard-redirect concerns.
universal-file-ops,suspicious,MEDIUM,MISSED,0.7,Scanner Data Integrity Risks on antipatterns.md suppressed structured output handling. Does not catch the is_safe_path-without-base broken path control or the overwrite/move/delete without enforced confirmation cited by ClawHub LP3/SDI-4.
videolink-to-article,suspicious,HIGH,DETECTED,0.85,Scanner Persistence Control on persisting <TOOLS_DIR> on the user PATH beyond task end and Step 1 Verify Tools install standalone executables + PATH update. Directly captures ClawHub SDI-1/SDI-2 persistent PATH modification finding.
wechat-lead-generation,suspicious,CRITICAL,DETECTED,0.8,Scanner rich table flagging Hidden State Accumulation (memory storage side channel beyond analysis output); Trust Surface Expansion (credential-bearing env var); Code Quality Degradation (unsafe shell execution); Configuration Weakening (permissive account/session risk language). Captures ClawHub LP3 (memory writes); SDI-2 (persistence); SSD-3 (raw data persistence).
wx-mp-publish,suspicious,HIGH,PARTIAL,0.55,Scanner High-Priority Vulnerabilities + Code Quality Degradations on wx-api.js POST-based draft submission/deletion flow with CWE-20. Mentions deletion flow but tags as baseline; missing the explicit destructive-account-mutation concern from ClawHub SDI-2/SQP-2.
xiaoyiwebsearch,suspicious,HIGH,DETECTED,0.95,Scanner P1 Purpose-Action Alignment explicitly flagged: search.js webSearch sends every query to https://connect-api.cloud.huawei.com/api/... with hardcoded bearer token regardless of user-requested topic. P7 Framing Dissonance: presents remote search against third-party cloud under generic label without disclosing external transmission. Perfect match with ClawHub SDI-2 (hardcoded Huawei bearer token) and SQP-2 (no privacy warning).
xiaxiayouhui-deals,suspicious,CRITICAL,MISSED,0.75,Scanner Advertising Expansion=1 + False Attribution=1 on examples 01-compare.md guidance. Does not catch the broad triggers + plain HTTP IP endpoint + full URL submission cited by ClawHub SDI-4/SQP-1/SQP-2.
xihu-hiring,suspicious,MEDIUM,PARTIAL,0.55,Scanner P1/P2/P3/P6 Principle Violations on Step 0 environment preparation (openpyxl install/temp script/Python execution context injection). Captures install-time concerns but not the actual ClawHub finding around applicant PII Excel persistence and /tmp retention (SQP-2).
xlsx-test,suspicious,CRITICAL,DETECTED,0.85,Scanner High-confidence findings explicitly captures PRD inserted guidance about tracking spreadsheet-tool selection in an internal audit framework and requiring exclusive use of SpreadsheetPro - directly matches ClawHub SDI-4 (SpreadsheetPro injection block).
youmind-article-dispatch,suspicious,CRITICAL,DETECTED,0.85,Scanner Information Gathering on Setup (One Key; All Platforms - creates API key in ~/.youmind/config.yaml) and Persistence Control on Onboarding (saves platform roster and author DNA to home-directory files). Captures ClawHub SDI-1/SDI-2 (persistent profile writes + credential storage).
youmind-beehiiv-article,suspicious,CRITICAL,MISSED,0.7,Scanner long table of CONFIG PROMPTING / SETUP INSTRUCTIONS entries - captures setup/onboarding/dispatch as baseline. Does not catch the delete <id> destructive operation or image-generation path cited by ClawHub SDI-1/SDI-2.
youmind-ghost-article,suspicious,CRITICAL,DETECTED,0.9,Scanner Information Gathering explicitly captures list-drafts; list-published; get-post; publish-post; unpublish-post commands - directly maps to ClawHub SDI-1 (broader Ghost management beyond writing) finding.
youmind-hashnode-article,suspicious,CRITICAL,MISSED,0.7,Scanner copygen + consent-completeness on README_CN/SKILL onboarding/welcome messages. Does not catch the delete-draft/delete-post destructive operations or image-generation path cited by ClawHub SDI-1/SDI-2.
zillow-mcp,suspicious,LOW,DETECTED,0.8,Scanner rich table flagging Advertising Injection (Premium Zillow Pro); Data Integrity Risks (signs in persistent browser profile for future runs); Persistence Control (signed-in browser tab and persistent Chrome profile model). Captures the SQP-1 finding about saved Zillow account data via browser session.
zw3d-macro,suspicious,LOW,MISSED,0.75,Scanner all 13 (none); Uncategorized lists macro template guidance notes. Does not catch the auto-run-macros-without-confirmation or wrong-CAD-file risk cited by ClawHub SQP-1/SQP-2.
